wavelength,Grass,Conifer,Deciduous,Snow,Soil,Water,Conrete
1.2,46.688,42.453,49.56,55.03,44.5184,1.9435,34.86
1.22,47.635,43.314,50.101,48.22,44.6219,1.9419,35.05
1.24,48.812,44.26,50.803,44.66,45.1044,1.9403,35.26
1.26,48.922,44.783,51.046,44.5,45.5733,1.9383,35.43
1.28,48.581,44.137,50.404,44.39,46.2478,1.9363,35.60
1.3,47.64,42.146,48.714,44.94,46.5306,1.9343,35.75
1.32,45.359,38.34,45.21,45.16,46.8047,1.9323,35.93
1.34,41.9,34.363,41.746,45.02,47.3646,1.9303,36.09
1.36,38.955,30.544,37.767,43.86,47.2082,1.9283,36.26
1.38,32.801,21.716,28.164,42.64,46.2133,1.9263,36.20
1.4,23.055,13.308,18.31,39,45.9137,1.9243,35.82
1.42,16.814,10.841,14.838,21.57,46.8564,1.9223,35.57
1.44,14.975,10.147,14.324,6.45,47.7334,1.9203,35.96
1.46,14.648,10.401,15.03,3.26,47.3183,1.9183,36.35
1.48,15.832,11.973,16.805,1.99,47.8086,1.9163,36.71
1.5,17.98,13.854,19.151,1.63,48.1335,1.91,37.12
1.52,20.617,15.729,21.738,1.81,48.5082,1.89,37.50
1.54,23.15,17.888,24.154,2.03,49.0261,1.8745,37.84
1.56,25.381,19.663,26.352,2.55,49.6306,1.872,38.17
1.58,27.655,21.102,27.843,3.16,49.6218,1.8695,38.46
1.6,29.285,22.55,29.591,3.64,49.5768,1.867,38.77
1.62,30.674,23.957,30.706,4.26,49.4971,1.8645,39.08
1.64,31.808,24.904,31.375,5.45,50.0075,1.862,39.38
1.66,32.257,25.529,32.071,6.76,50.1346,1.8595,39.67
1.68,32.579,25.977,32.517,8.11,50.1404,1.857,39.86
1.7,32.332,25.93,32.19,9.48,50.1726,1.8515,40.04
1.72,31.501,25.046,31.257,10.51,50.6618,1.8515,40.18
1.74,30.48,25.016,30.998,11.71,50.5475,1.8455,40.30
1.76,28.774,23.602,29.809,12.8,50.4452,1.8455,40.38
1.78,27.768,23.87,29.803,13.97,50.6794,1.8282,40.57
1.8,27.65,22.524,28.356,15.59,50.7045,1.4705,40.74
1.82,27.127,19.495,24.809,17.2,50.5629,1.4705,40.83
1.84,25.853,12.644,16.229,19.14,50.5885,1.4705,40.94
1.86,21.605,6.265,7.93,16.51,50.8178,1.4705,40.76
1.88,13.258,4.27,5.385,8.16,48.5579,1.44,39.54
1.9,7.2879,3.876,5.142,3.74,45.0221,1.4095,36.31
1.92,5.1658,4.015,5.548,1.74,44.5173,1.379,34.26
1.94,5.0554,4.528,6.405,1.08,45.4656,1.3485,34.70
1.96,5.5539,5.229,7.412,0.72,46.1588,1.318,35.57
